tweet_id,tweet_timestamp_x,hashtags,full_text,user_name,user_location,tweet_timestamp_y,tweet_favourites,tweet_favourited,retweet_count,retweeted,tweet_sentiment_tb,tweet_sentiment_vs
2295,2021-02-05 04:23:58,,"@rihanna FYI. We in J&amp;K, which is also a part of India, is not having 4G services for the past 1 year, and for the first 6 months, we didn't even have an internet connection.And you talking about Farmer's Protest. CAN YOU PLEASE TELL WHY THEY ARE PROTESTING AND AGAINST WHICH LAW?",kushar dogra,"Jammu, Jammu And Kashmir",2021-02-05 04:23:58,0,False,0,False,0.0,-0.1779
1497,2021-02-05 04:23:50,,@rihanna I want to thank u from the bottom of my heart for showing your support to the farmers in India. Your support is highly appreciated by the farmers. Thanks a lot for using your voice in this matter. Keep using your voice for honest work bc it really makes a difference in the world,Amarjit Kaur,,2021-02-05 04:23:50,1,False,0,False,0.3,0.9695
2853,2021-02-05 04:23:46,,@rihanna ♥️♥️♥️,Janani,,2021-02-05 04:23:46,0,False,0,False,0.0,0.6369
4276,2021-02-05 04:23:45,BanRihanna,@rihanna #BanRihanna We don’t want any paid puppets on Twitter.,SRIM,India,2021-02-05 04:23:45,1,False,0,False,0.0,0.0772
7296,2021-02-05 04:23:41,,@rihanna Thankyouuuuu so much. Your single tweet put fire on ass of many indian stars. Love from kerala,Franswa,Augsburg,2021-02-05 04:23:41,1,False,1,False,0.28214285714285714,-0.1779
8282,2021-02-05 04:23:39,,"@rihanna Why not ...your great attention is working
Thankyou Rihanna
Kangana Ranaut is shit of India...",Amardeep Singh,,2021-02-05 04:23:39,1,False,0,False,0.30000000000000004,-0.7842
6669,2021-02-05 04:23:38,,@rihanna तुम्हें क्या जानकारी है किसानों के बारे में।अपने गिरेबान में झांक कर देखो बहुत कीड़े मिलेंगे?,कट्टरहिन्दु नवलकिशोर,,2021-02-05 04:23:38,0,False,0,False,0.0,0.0
5915,2021-02-05 04:23:23,,"@rihanna Barbados PM writes to PM Modi, thanks him for donation of COVID-19 vaccine

Read @ANI Story | https://t.co/WDDCxbt0NP https://t.co/SuPCwJkkxD",𝗗𝗿𝘅 𝗡𝗮𝘃 𝗣𝗿𝗮𝗯𝗵𝗮𝘁 𝗠𝗶𝘀𝗵𝗿𝗮 🇮🇳,"Lucknow, India",2021-02-05 04:23:23,0,False,0,False,0.2,0.4404
8714,2021-02-05 04:23:12,,@rihanna Thanks support to Farmers,Deep,,2021-02-05 04:23:12,0,False,0,False,0.2,0.6808
6529,2021-02-05 04:23:10,FarmersProtest,"@rihanna ਤੇਰਾ  ਫਿਰਦਾ  ਟਵੀਟ  ਹਿੱਕਾਂ  ਉੱਤੇ  ਮੇਲ਼ਦਾ !

ਧੂੰਆਂ ਬੰਦ ਹੀ ਨਾ ਹੋਵੇ ਦੱਲਿਆਂ ਦੀ ਰੇਲ ਦਾ !
#FarmersProtest
#KisanAndolan",ਜੀਜਾ ਜੀ,,2021-02-05 04:23:10,0,False,0,False,0.0,0.0
8650,2021-02-05 04:23:09,,@rihanna 👌👏👏🙏🙏,manju Kenchappa,,2021-02-05 04:23:09,0,False,0,False,0.5,0.0
1320,2021-02-05 04:23:09,BoycottBarbados,"@rihanna Why we are sending bhikh to Barbados, #BoycottBarbados",रवि राज,,2021-02-05 04:23:09,0,False,0,False,0.0,0.0
9732,2021-02-05 04:23:09,,"@rihanna cause bunch of idiots and Gujrat's are Rulling https://t.co/JG5prXiYhV no one talks. Farmers and middle class are considered to be the slave of so called @sachin_rt and others where they have gain by framer support.
shame shame, well done @rihanna",Sagar,United States,2021-02-05 04:23:09,0,False,0,False,-0.4,-0.0516
4329,2021-02-05 04:23:05,supportfarmers,@rihanna #supportfarmers,DhaliwalJatt,"Toronto, Ontario",2021-02-05 04:23:05,0,False,0,False,0.0,0.0
4864,2021-02-05 04:23:03,,@rihanna They are always in Favor of Present govt. They always involved in riots. Don't give them attention https://t.co/WN508IntWR,Ash Prince,"Hyderabad, India",2021-02-05 04:23:03,0,False,0,False,0.0,-0.1531
8060,2021-02-05 04:22:59,,@rihanna Thank you for support much needed,Nav Sandhu,,2021-02-05 04:22:59,0,False,0,False,0.2,0.6369
8212,2021-02-05 04:22:35,,@rihanna Appreciate...,arminder,,2021-02-05 04:22:35,0,False,0,False,0.0,0.4019
8262,2021-02-05 04:22:33,,@rihanna Thanks for supporting farmers,Choudhary Shubham Jat,,2021-02-05 04:22:33,0,False,0,False,0.225,0.7003
5461,2021-02-05 04:22:30,,"@rihanna Fuckofff @rihanna ,,,melted lady...",RAGHUVENDRA SINGH,"Jhansi ,bhopal",2021-02-05 04:22:30,0,False,0,False,0.0,0.0
1907,2021-02-05 04:22:17,,"@rihanna Because this is country internal matters, If something happen inside your house or in your family do you like if outside people comes and interfere in your family matters. Rihanna I believe instead of talking about other countries internal matters focus on your country.",Vikas Singh,"Toronto, Ontario",2021-02-05 04:22:17,0,False,0,False,-0.03125,0.4215
1994,2021-02-05 04:22:12,,@rihanna 💜💜💜💜,Jack Hasnu,,2021-02-05 04:22:12,0,False,0,False,0.0,0.6369
1994,2021-02-05 04:22:12,,@rihanna 💜💜💜💜,Jack Hasnu,,2021-02-05 04:22:12,0,False,0,False,0.0,0.6369
1994,2021-02-05 04:22:12,,@rihanna 💜💜💜💜,Jack Hasnu,"Guwahati, India",2021-02-05 04:22:12,0,False,0,False,0.0,0.6369
1994,2021-02-05 04:22:12,,@rihanna 💜💜💜💜,Jack Hasnu,"Guwahati, India",2021-02-05 04:22:12,0,False,0,False,0.0,0.6369
